timestamp_ms_relative,transaction,time_ms
300365,orderStatus,29.69
300376,stockLevel,47.54
300389,delivery,18.27
301289,newOrder,28.04
302443,payment,18
302451,orderStatus,25.82
302484,stockLevel,59.88
302499,delivery,41.05
303282,newOrder,29.83
304537,payment,21
304544,stockLevel,40.86
304547,orderStatus,31.90
304571,delivery,14.11
305275,newOrder,26.57
306628,payment,22
306629,orderStatus,23.44
306644,stockLevel,39.05
306682,delivery,30.35
307275,newOrder,25.99
308697,payment,19
308705,orderStatus,26.16
308723,stockLevel,45.62
308733,delivery,18.48
309274,newOrder,22.58
310785,orderStatus,19.49
310786,payment,21
310806,stockLevel,39.75
310839,delivery,32.96
311272,newOrder,24.26
312857,payment,22
312863,orderStatus,27.54
312873,stockLevel,40.46
312889,delivery,16.02
313272,newOrder,24.93
314943,payment,25
314948,orderStatus,29.28
314961,stockLevel,43.09
314994,delivery,37.61
315278,newOrder,29.39
317038,payment,23
317046,orderStatus,30.96
317057,stockLevel,43.30
317071,delivery,16.54
317277,newOrder,28.19
319117,orderStatus,18.33
319126,payment,27
319143,stockLevel,44.44
319180,delivery,38.69
319274,newOrder,25.03
321200,payment,22
321213,orderStatus,32.56
321224,stockLevel,47.65
321237,delivery,20.26
321277,newOrder,28.17
323296,newOrder,46.23
323313,payment,35
323323,orderStatus,44.26
323346,stockLevel,70.69
323380,delivery,48.25
325283,newOrder,34.28
325385,payment,21
325396,payment,24
325429,orderStatus,54.12
325449,stockLevel,75.35
325489,delivery,77.57
325496,delivery,71.71
327282,newOrder,33.25
327537,payment,30
327563,orderStatus,56.86
327564,stockLevel,63.79
327567,orderStatus,60.69
327617,delivery,45.60
329271,newOrder,23.34
329675,payment,25
329691,orderStatus,42.11
329702,stockLevel,54.60
329706,stockLevel,57.25
329719,delivery,19.45
331289,newOrder,36.58
331777,payment,21
331789,orderStatus,32.61
331804,stockLevel,49.85
331855,delivery,55.87
333273,newOrder,24.06
333880,payment,24
333888,orderStatus,28.72
333904,stockLevel,51.70
333916,delivery,16.37
335278,newOrder,23.67
335972,payment,21
335983,orderStatus,31.08
335992,stockLevel,41.15
336021,delivery,32.68
338045,orderStatus,22.67
338053,stockLevel,30.49
340124,stockLevel,25.56
